I_trMrho_e,I_sign_e
0.00270403,0
0.000836182,5.37992e-05
0.00644029,0.000727437
0.00183902,0.000666316
0.00467066,1.66372e-05
0.000643818,3.42187e-08
0.0122745,8.53345e-05
0.00143574,0.000377276
0.00256316,0.00149488
0.00684107,0.00153527
0.0547267,0.0112703
0.00315096,8.87014e-05
0.0123957,0.000680871
0.00762056,0.00445827
0.00637628,0.00299937
0.0201677,4.65277e-05
0.00706892,4.44204e-05
0.00508923,1.08856e-07
0.0075228,0.000610194
0.00940612,0.00649333
0.00872455,0.000142394
0.0243603,0.00609244
0.00345752,0.00195065
0.00258079,0.0010748
0.00434108,2.37975e-06
0.00778423,0.00166088
0.00079021,7.52802e-06
0.0109909,0.00152694
0.00472861,0.000310906
0.000897769,0.000151803
0.00926794,4.40176e-06
0.00330185,3.20343e-16
0.0103087,0.00021547
0.00651966,0.00235563
0.00143391,0.000490136
0.00769343,4.40176e-06
0.0086698,-3.35831e-16
0.0119743,0.00606543
0.00137846,0.000236205
0.032359,0.00922846
0.00511429,2.05427e-05
0.00338277,0.000419535
0.00716705,0.000105671
0.00199336,1.92566e-05
0.00353124,0.00225194
0.00423216,0.000658901
0.00310915,0.000177931
0.007964,0.000263988
0.00142176,8.29432e-05
0.00649256,5.7106e-05
0.0132179,3.20343e-16
0.00870776,0
0.0123227,0.000825551
0.000712013,9.11514e-05
0.00553926,0.000763572
0.0085872,0.000425639
0.00583442,0.000437358
0.00764302,0.000547953
0.00243238,1.93246e-08
0.000568025,3.42048e-05
0.0051161,0.00137188
0.00661962,0
0.00733814,0.000114491
0.00517615,0.000183383
0.0101365,0.000426156
0.00799755,0.00482936
0.00386281,2.93449e-06
0.0100964,0.00025972
0.00184877,5.43091e-05
0.00132297,0.000562967
0.0201065,2.93449e-06
0.00365765,0.00113881
0.0133916,0.000920791
0.00103117,3.73315e-06
0.000219231,7.90516e-05
0.00384764,3.20343e-16
0.0113567,0.00122909
0.00399668,4.26634e-06
0.00809573,7.35753e-05
0.00511574,0.000554658
0.0244903,0.00593721
0.00719214,0.000567515
0.00305109,0.000231031
0.016585,0.000563112
0.00257596,0.000507712
0.00399405,0.000802392
0.0174598,0.00107478
0.00380493,7.21631e-05
0.00392395,3.75284e-05
0.0051067,0.000561903
0.00617844,0.000620664
0.00827029,3.20343e-16
0.00213669,4.91594e-06
0.00531369,2.05427e-05
0.00176658,0.00102213
0.00954436,0
0.00786957,7.10203e-06
0.0011712,0.000567638
0.00934176,0.00163994
0.0387754,9.99756e-05
0.00155821,0.000218098
0.011655,0.00420489
0.0101955,0.00223311
0.00198896,0.000170838
0.00200706,0.000971646
0.00760813,1.46724e-06
0.00268031,5.08509e-05
0.00295687,0.000835933
0.00222442,0.000265802
0.000643115,0.000163192
0.0183671,0.000443986
0.00398901,1.74619e-05
0.0125466,0.000756744
0.0010116,0.000173045
